iter	Passed	Remaining
1341	493351	3182888
1342	493701	3182407
1343	494044	3181884
1344	494399	3181431
1345	494745	3180929
1346	495081	3180354
1347	495453	3180016
1348	495817	3179624
1349	496190	3179294
1350	496530	3178751
1351	496911	3178468
1352	497275	3178080
1353	497639	3177687
1354	498010	3177343
1355	498384	3177020
1356	498735	3176542
1357	499067	3175948
1358	499438	3175605
1359	499798	3175191
1360	500172	3174862
1361	500535	3174466
1362	500890	3174019
1363	501242	3173553
1364	501631	3173325
1365	501985	3172873
1366	502377	3172658
1367	502751	3172333
1368	503107	3171889
1369	503466	3171469
1370	503836	3171118
1371	504204	3170752
1372	504583	3170461
1373	504967	3170199
1374	505357	3169969
1375	505735	3169667
1376	506104	3169309
1377	506448	3168797
1378	506801	3168339
1379	507160	3167915
1380	507512	3167450
1381	507876	3167064
1382	508247	3166714
1383	508603	3166274
1384	508957	3165824
1385	509315	3165402
1386	509695	3165112
1387	510075	3164820
1388	510442	3164449
1389	510791	3163965
1390	511145	3163517
1391	511509	3163124
1392	511854	3162621
1393	512230	3162308
1394	512584	3161859
1395	512955	3161511
1396	513364	3161399
1397	513711	3160905
1398	514080	3160549
1399	514447	3160180
1400	514799	3159713
1401	515197	3159533
1402	515558	3159128
1403	515919	3158723
1404	516274	3158279
1405	516620	3157778
1406	516973	3157320
1407	517352	3157027
1408	517709	3156595
1409	518078	3156236
1410	518453	3155915
1411	518815	3155516
1412	519155	3154979
1413	519515	3154568
1414	519878	3154173
1415	520252	3153847
1416	520599	3153355
1417	520960	3152948
1418	521337	3152639
1419	521686	3152160
1420	522052	3151788
1421	522409	3151355
1422	522786	3151044
1423	523147	3150643
1424	523531	3150374
1425	523876	3149870
1426	524242	3149498
1427	524602	3149086
1428	524978	3148770
1429	525324	3148270
1430	525673	3147794
1431	526031	3147372
1432	526377	3146877
1433	526752	3146559
1434	527130	3146252
1435	527520	3146021
1436	527879	3145602
1437	528244	3145220
1438	528607	3144826
1439	528977	3144474
1440	529326	3143999
1441	529684	3143580
1442	530052	3143215
1443	530402	3142742
1444	530776	3142416
1445	531133	3141987
1446	531501	3141627
1447	531871	3141274
1448	532234	3140878
1449	532595	3140475
1450	532958	3140081
1451	533313	3139644
1452	533683	3139295
1453	534033	3138826
1454	534394	3138419
1455	534756	3138022
1456	535124	3137657
1457	535493	3137304
1458	535832	3136770
1459	536186	3136322
1460	536538	3135870
1461	536903	3135489
1462	537263	3135075
1463	537634	3134731
1464	538003	3134375
1465	538365	3133979
1466	538744	3133679
1467	539116	3133336
1468	539516	3133159
1469	539891	3132842
1470	540243	3132386
1471	540601	3131964
1472	540975	3131635
1473	541327	3131181
1474	541699	3130838
1475	542067	3130476
1476	542423	3130046
1477	542792	3129686
1478	543174	3129406
1479	543512	3128869
1480	543892	3128575
1481	544251	3128159
1482	544584	3127594
1483	544944	3127185
1484	545301	3126760
1485	545665	3126376
1486	546022	3125953
1487	546379	3125526
1488	546757	3125219
1489	547135	3124913
1490	547513	3124608
1491	547871	3124190
1492	548269	3123996
1493	548631	3123599
1494	548981	3123137
